id,Names,Surnames,Age,Email,Worktimes,Schedules,Studies level,Pets,Cooking,Sport,Smoking,Organized
1,Josephine,Wright,33,JosephineWright@gmail.com,night,morning,secondary,No,Yes,No,No,Yes
2,LouisaLoren,Evans ,34,LouisaLorenEvans @gmail.com,night,morning,secondary,Yes,No,Yes,No,No
3,Marie,Wright,32,MarieWright@gmail.com,morning,night,university,No,No,Yes,Yes,No
4,Mario,Williams,28,MarioWilliams@gmail.com,night,morning,university,No,Yes,No,No,No
5,Nick,Roberts ,34,NickRoberts @gmail.com,morning,morning,secondary,Yes,No,No,Yes,Yes
6,John,Thompson ,27,JohnThompson @gmail.com,night,night,secondary,No,Yes,Yes,Yes,Yes
7,Miguel,Taylor,22,MiguelTaylor@gmail.com,morning,morning,secondary,Yes,Yes,Yes,Yes,No
8,Mario,Edwards ,20,MarioEdwards @gmail.com,morning,night,secondary,Yes,No,No,Yes,No
9,Nick,Johnson,21,NickJohnson@gmail.com,night,morning,secondary,Yes,Yes,Yes,No,No
10,Josephine,Bush,18,JosephineBush@gmail.com,night,night,secondary,Yes,No,Yes,No,No
11,Josephine,Roberts ,30,JosephineRoberts @gmail.com,morning,night,secondary,Yes,Yes,Yes,No,No
12,Jorge,Taylor,34,JorgeTaylor@gmail.com,night,morning,university,Yes,No,No,No,No
13,Josephine,Lee ,33,JosephineLee @gmail.com,night,night,secondary,No,No,No,No,No
14,Lucas,Edwards ,24,LucasEdwards @gmail.com,night,night,secondary,Yes,No,No,No,No
15,LouisaLoren,Taylor,30,LouisaLorenTaylor@gmail.com,morning,morning,university,Yes,No,Yes,No,No
16,Miguel,Jones,21,MiguelJones@gmail.com,morning,morning,secondary,No,No,Yes,Yes,Yes
17,Anthony,Johnson,28,AnthonyJohnson@gmail.com,morning,morning,university,No,Yes,No,Yes,No
18,Marie,Thomas ,23,MarieThomas @gmail.com,night,night,secondary,No,No,No,Yes,No
19,Anthony,Thompson ,29,AnthonyThompson @gmail.com,morning,night,university,No,No,Yes,Yes,Yes
20,Josephine,Roberts ,29,JosephineRoberts @gmail.com,morning,night,university,No,No,No,No,No
21,Jorge,Williams,28,JorgeWilliams@gmail.com,morning,night,secondary,No,Yes,No,Yes,Yes
22,Antonio,Hughes ,24,AntonioHughes @gmail.com,night,night,university,Yes,No,No,Yes,Yes
23,Miguel,Wright,21,MiguelWright@gmail.com,night,morning,secondary,Yes,No,No,Yes,Yes
24,Josephine,Williams,29,JosephineWilliams@gmail.com,morning,night,university,Yes,No,Yes,No,Yes
25,John,Bush,19,JohnBush@gmail.com,night,morning,secondary,No,No,No,No,No
26,Michael,Thomas ,25,MichaelThomas @gmail.com,morning,morning,secondary,Yes,No,No,Yes,Yes
27,Anthony,White,33,AnthonyWhite@gmail.com,night,morning,secondary,No,No,Yes,No,No
28,Mario,Jones,31,MarioJones@gmail.com,night,night,secondary,Yes,No,No,Yes,Yes
29,Josephine,Johnson,20,JosephineJohnson@gmail.com,night,night,university,No,No,No,Yes,No
30,LouisaLoren,Bush,31,LouisaLorenBush@gmail.com,night,morning,university,No,No,No,Yes,No
31,Mario,Williams,29,MarioWilliams@gmail.com,night,night,university,No,No,Yes,Yes,No
32,Luna,Jones,21,LunaJones@gmail.com,morning,morning,university,No,Yes,Yes,No,No
33,Maria,Williams,31,MariaWilliams@gmail.com,night,morning,university,No,Yes,Yes,No,Yes
34,Nick,Robinson ,29,NickRobinson @gmail.com,morning,night,university,Yes,Yes,Yes,No,No
35,Albert,Hughes ,24,AlbertHughes @gmail.com,night,morning,secondary,No,Yes,No,No,No
36,Josephine,Johnson,22,JosephineJohnson@gmail.com,night,night,secondary,No,No,Yes,No,No
37,Albert,Davies ,31,AlbertDavies @gmail.com,night,morning,secondary,Yes,No,Yes,No,Yes
38,John,Thomas ,24,JohnThomas @gmail.com,morning,morning,university,No,Yes,No,No,Yes
39,Mario,Lee ,33,MarioLee @gmail.com,night,morning,secondary,No,Yes,No,No,No
40,Michael,Edwards ,31,MichaelEdwards @gmail.com,morning,night,university,Yes,No,No,Yes,No
41,Jorge,Roberts ,31,JorgeRoberts @gmail.com,morning,night,secondary,No,No,No,Yes,No
42,Josephine,Taylor,32,JosephineTaylor@gmail.com,night,night,university,Yes,No,Yes,No,Yes
43,Antonio,Brown,34,AntonioBrown@gmail.com,night,morning,secondary,Yes,No,Yes,No,Yes
44,Albert,Thompson ,24,AlbertThompson @gmail.com,morning,night,university,Yes,Yes,No,Yes,Yes
45,Michael,Davies ,24,MichaelDavies @gmail.com,morning,night,secondary,Yes,Yes,No,No,No
46,Michael,Wright,28,MichaelWright@gmail.com,morning,morning,secondary,Yes,No,Yes,No,No
47,Derek,Thomas ,31,DerekThomas @gmail.com,morning,morning,secondary,No,No,No,No,No
